ID,Student,age,gender,career,semester,clinical_reasoning_label,clinical_reasoning_value,conflict_resolution_label,conflict_resolution_value,leadership_label,leadership_value,stress_control_label,stress_control_value
af79dad4-fdb0-11ef-9af2-1294a37afab2,1,29,Male,Rehabilitation Sciences,2,Low,2.03,Low,2.08,Normal/Good,5.88,Medium,5
218a34b6-fdb1-11ef-9af2-1294a37afab2,2,19,Female,Medicine,2,Medium,4.92,High,8,Good,7.9,High,7.41
ff7032d2-fe6d-11ef-b094-1294a37afab3,3,26,Female,Nutrition,2,Low,2.04,Low,2.18,Normal/Good,5.57,Medium,5
82267424-fdb1-11ef-9af2-1294a37afab2,4,23,Female,Nutrition,2,Medium,5,High,7.93,Good,6.69,High,6.26
ff208c8a-fdb1-11ef-9af2-1294a37afab2,5,32,Male,Medicine,2,Low/Medium,2.81,Low,1.94,Good,6.73,Medium,5
3a06d4da-fdb2-11ef-9af2-1294a37afab2,6,24,Female,Nutrition,2,Low,2.2,Medium,4.14,Good,6.63,Medium,5
91166326-fdb2-11ef-9af2-1294a37afab2,7,26,Male,Rehabilitation Sciences,2,Low,2.19,Low/Medium,3.23,Normal,4.91,Medium,4.39
f2c6462c-fdb2-11ef-9af2-1294a37afab2,8,28,Male,Rehabilitation Sciences,2,Medium,5,Medium,4.69,Normal/Good,5.59,High,6.72
2cdb1b80-fdb3-11ef-9af2-1294a37afab2,9,25,Female,Nutrition,2,Medium,5,Medium,5,Good,7.11,High,7.1
c6d61870-fdb3-11ef-9af2-1294a37afab2,10,29,Other,Nutrition,2,Low,2.15,High,6.74,Good,6.31,High,7.87
f939618c-fdb3-11ef-9af2-1294a37afab2,11,32,Female,Nutrition,2,Low,2.1,Low,1.94,Normal,4.84,Medium,4.43
3d124c98-fdb4-11ef-9af2-1294a37afab2,12,26,Female,Rehabilitation Sciences,2,Low/Medium,2.75,Medium,5,Normal,4.97,Medium/High,6.18
728141ae-fdb4-11ef-9af2-1294a37afab2,13,21,Female,Medicine,3,Medium,3.98,Medium,5,Good,6.8,High,6.8
ce9474a2-fdb4-11ef-9af2-1294a37afab2,14,24,Female,Medicine,2,Low/Medium,2.8,Low,1.99,Normal/Good,5.37,Medium,5
1b7fe602-fdb5-11ef-9af2-1294a37afab2,15,31,Female,Medicine,2,Low,2.15,Low/Medium,3.43,Normal,4.38,Medium,5
6429b2f2-fdb5-11ef-9af2-1294a37afab2,16,29,Female,Medicine,2,Medium,5,Medium,5,Good,7.04,High,7.04
be0d7772-fdb5-11ef-9af2-1294a37afab2,17,24,Female,Medicine,2,Low,2.07,Low/Medium,3,Good,7.07,Medium,5
00db3576-fdb6-11ef-9af2-1294a37afab2,18,25,Female,Rehabilitation Sciences,2,Low,2.5,Low,1.94,Normal/Good,5.65,Medium,5
3757d74e-fdb6-11ef-9af2-1294a37afab2,19,23,Male,Rehabilitation Sciences,2,Low,2.28,Low/Medium,3.73,Normal/Good,5.06,Medium,5
77d50666-fdb6-11ef-9af2-1294a37afab2,20,19,Female,Medicine,2,Low,2.06,Medium,4.08,Good,6.67,Medium,5
fdf10f60-fdb6-11ef-9af2-1294a37afab2,21,35,Female,Nutrition,2,Low,1.96,Medium,4.81,Normal,4.35,Medium,5